<http://bryophyteportal.org/portal/content/dwca/MCTC_DwC-A.eml>	<hash://sha256/f6cba0ee063d6b31f866119654597a5331caea9f9f48489700ccd18f64ff38b9>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MCTC_DwC-A.zip>	<hash://sha256/7f57129684cad6ed505e76e65aabc980a6d506e7cc00f7f297c981000a07dd40>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MICH_DwC-A.eml>	<hash://sha256/dcc2be3754c0a8d97b05274a9e79f8f663aabe610df26e73ed4181859c291df7>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MICH_DwC-A.zip>	<hash://sha256/2de2af76e45fa6e08c9c70a8ab1961949c1fddba675955244456f069063cd5a5>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org:443/portal/content/dwca/MISS-Bryophytes_DwC-A.eml>	<hash://sha256/8a896841d67258e433b521c3b5bdc030456a9346842714666486c083f53880f6>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<https://bryophyteportal.org:443/portal/content/dwca/MISS-Bryophytes_DwC-A.zip>	<hash://sha256/e576e041b9b09ee05f1fda9adef5d9a5791d2af2af698311937d5e97862b9c3a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MOR_DwC-A.eml>	<hash://sha256/22a89c43109ab40324b53fe4985a260edb89b66b77eeb349b285ad0f0ba4370a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MOR_DwC-A.zip>	<hash://sha256/80cc6284c2e3f88b29e765734a00f3f1f8a7571482e99bf7bb9609e1b94dc338>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MSC_DwC-A.eml>	<hash://sha256/5d950cd27efc8daf561f539c52ba9054f577d234456f2ecf63f1ce0397968a4d>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MSC_DwC-A.zip>	<hash://sha256/54866b3d0b34dbcbbad6af5785097a8ce2237bf45256bf5fa862054c8c869d4a>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MU_DwC-A.eml>	<hash://sha256/0f8a9730dcb2f037d4bd6b74014deb3a46845359419aed67c891989f9b803080>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/MU_DwC-A.zip>	<hash://sha256/550ff45df01c318bd8c3abc10c017bdb9c6c0409ba14d47fd31d202320db6979>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NCU_DwC-A.eml>	<hash://sha256/144b7a0753cab790d6c240a1b0352670dc1a636b66cd3071a63e1b00d164bede>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
<http://bryophyteportal.org/portal/content/dwca/NCU_DwC-A.zip>	<hash://sha256/9821911b069df763d8e70f5034ef999f0db4bd2afda309c61946e5c4e83a7b10>	"2020-08-01T20:12:47.655Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>
